country_id,name,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty
0,World,7794798729,58.045,30.9,8.696,15469.207,10
1,Afghanistan,38928341,54.422,18.6,2.581,1803.987,-1.1
2,Albania,2877800,104.871,38,13.188,11803.431,1.1
3,Algeria,43851043,17.348,29.1,6.211,13913.839,0.5
4,Andorra,77265,163.755,-1.1,-1,-1.1,-1.1
5,Angola,32866268,23.89,16.8,2.405,5819.495,-1.1
6,Antigua and Barbuda,97928,231.845,32.1,6.933,21490.943,-1.1
7,Argentina,45195777,16.177,31.9,11.198,18933.907,0.6
8,Armenia,2963234,102.931,35.7,11.232,8787.58,1.8
9,Australia,25499881,3.202,37.9,15.504,44648.71,0.5
10,Austria,9006400,106.749,44.4,19.202,45436.686,0.7
11,Azerbaijan,10139175,119.309,32.4,6.018,15847.419,-1.1
12,Bahamas,393248,39.497,34.3,8.996,27717.847,-1.1
13,Bahrain,1701583,1935.907,32.4,2.372,43290.705,-1.1
14,Bangladesh,164689383,1265.036,27.5,5.098,3523.984,14.8
15,Barbados,287371,664.463,39.8,14.952,16978.068,-1.1
16,Belarus,9449321,46.858,40.3,14.799,17167.967,-1.1
17,Belgium,11589616,375.564,41.8,18.571,42658.576,0.2
18,Belize,397621,16.426,25,3.853,7824.362,-1.1
19,Benin,12123198,99.11,18.8,3.244,2064.236,49.6
20,Bhutan,771612,21.188,28.6,4.885,8708.597,1.5
21,Bolivia,11673029,10.202,25.4,6.704,6885.829,7.1
22,Bosnia and Herzegovina,3280815,68.496,42.5,16.569,11713.895,0.2
23,Botswana,2351625,4.044,25.8,3.941,15807.374,-1.1
24,Brazil,212559409,25.04,33.5,8.552,14103.452,3.4
25,Brunei,437483,81.347,32.4,4.591,71809.251,-1.1
26,Bulgaria,6948445,65.18,44.7,20.801,18563.307,1.5
27,Burkina Faso,20903278,70.151,17.6,2.409,1703.102,43.7
28,Burundi,11890781,423.062,17.5,2.562,702.225,71.7
29,Cabo Verde,555988,135.58,25.7,4.46,6222.554,-1.1
30,Cambodia,16718971,90.672,25.6,4.412,3645.07,-1.1
31,Cameroon,26545864,50.885,18.8,3.165,3364.926,23.8
32,Canada,37742157,4.037,41.4,16.984,44017.591,0.5
33,Central African Republic,4829764,7.479,18.3,3.655,661.24,-1.1
34,Chad,16425859,11.833,16.7,2.486,1768.153,38.4
35,Chile,19116209,24.282,35.4,11.087,22767.037,1.3
36,China,1439323774,147.674,38.7,10.641,15308.712,0.7
37,Colombia,50882884,44.223,32.2,7.646,13254.949,4.5
38,Comoros,869595,437.352,20.4,2.963,1413.89,18.1
39,Congo,5518092,15.405,19,3.402,4881.406,37
40,Costa Rica,5094114,96.079,33.6,9.468,15524.995,1.3
41,Croatia,4105268,73.726,44,19.724,22669.797,0.7
42,Cuba,11326616,110.408,43.1,14.738,-1.1,-1.1
43,Cyprus,875899,127.657,37.3,13.416,32415.132,-1.1
44,Czech Republic,10708982,137.176,43.3,19.027,32605.906,-1.1
45,Cote d'Ivoire,26378275,76.399,18.7,2.933,3601.006,28.2
46,Denmark,5792203,136.52,42.3,19.677,46682.515,0.2
47,Dijibouti,-1,-1.1,-1.1,-1,-1.1,-1.1
48,Dominica,71991,98.567,-1.1,-1,9673.367,-1.1
49,Dominican Republic,10847904,222.873,27.6,6.981,14600.861,1.6
50,Democratic Republic of Congo,89561404,35.879,17,3.02,808.133,77.1
51,Ecuador,17643060,66.939,28.1,7.104,10581.936,3.6
52,Egypt,102334403,97.999,25.3,5.159,10550.206,1.3
53,El Salvador,6486201,307.811,27.6,8.273,7292.458,2.2
54,Equatorial Guinea,1402985,45.194,22.4,2.846,22604.873,-1.1
55,Eritrea,3546427,44.304,19.3,3.607,1510.459,-1.1
56,Estonia,1326539,31.033,42.7,19.452,29481.252,0.5
57,Eswatini,-1,-1.1,-1.1,-1,-1.1,-1.1
58,Ethiopia,114963583,104.957,19.8,3.526,1729.927,26.7
59,Fiji,896444,49.562,28.6,6.224,8702.975,1.4
60,Finland,5540718,18.136,42.8,21.228,40585.721,-1.1
61,France,65273512,122.578,42,19.718,38605.671,-1.1
62,Gabon,2225728,7.859,23.1,4.45,16562.413,3.4
63,Gambia,2416664,207.566,17.5,2.339,1561.767,10.1
64,Georgia,3989175,65.032,38.7,14.864,9745.079,4.2
65,Germany,83783945,237.016,46.6,21.453,45229.245,-1.1
66,Ghana,31072945,126.719,21.1,3.385,4227.63,12
67,Greece,10423056,83.479,45.3,20.396,24574.382,1.5
68,Grenada,112519,317.132,29.4,7.304,13593.877,-1.1
69,Guatemala,17915567,157.834,22.9,4.694,7423.808,8.7
70,Guinea,13132792,51.755,19,3.135,1998.926,35.3
71,Guinea-Bissau,1967998,66.191,19.4,3.002,1548.675,67.1
72,Guyana,786559,3.952,26.3,5.305,7435.047,-1.1
73,Haiti,11402533,398.448,24.3,4.8,1653.173,23.5
74,Holy See,-1,-1.1,-1.1,-1,-1.1,-1.1
75,Honduras,9904608,82.805,24.9,4.652,4541.795,16
76,Hungary,9660350,108.043,43.4,18.577,26777.561,0.5
77,Iceland,341250,3.404,37.3,14.431,46482.958,0.2
78,India,1380004385,450.419,28.2,5.989,6426.674,21.2
79,Indonesia,273523621,145.725,29.3,5.319,11188.744,5.7
80,Iran,83992953,49.831,32.4,5.44,19082.62,0.2
81,Iraq,40222503,88.125,20,3.186,15663.986,2.5
82,Ireland,4937796,69.874,38.7,13.928,67335.293,0.2
83,Israel,8655541,402.606,30.6,11.733,33132.32,0.5
84,Italy,60461828,205.859,47.9,23.021,35220.084,2
85,Jamaica,2961161,266.879,31.4,9.684,8193.571,-1.1
86,Japan,126476458,347.778,48.2,27.049,39002.223,-1.1
87,Jordan,10203140,109.285,23.2,3.81,8337.49,0.1
88,Kazakhstan,18776707,6.681,30.6,6.991,24055.588,0.1
89,Kenya,53771300,87.324,20,2.686,2993.028,36.8
90,Kiribati,-1,-1.1,-1.1,-1,-1.1,-1.1
91,Kuwait,4270563,232.128,33.7,2.345,65530.537,-1.1
92,Kyrgyzstan,6524191,32.333,26.3,4.489,3393.474,1.4
93,Laos,7275556,29.715,24.4,4.029,6397.36,22.7
94,Latvia,1886202,31.212,43.9,19.754,25063.846,0.7
95,Lebanon,6825442,594.561,31.1,8.514,13367.565,-1.1
96,Lesotho,2142252,73.562,22.2,4.506,2851.153,59.6
97,Liberia,5057677,49.127,19.2,3.057,752.788,38.6
98,Libya,6871287,3.623,29,4.424,17881.509,-1.1
99,Liechtenstein,38137,237.012,-1.1,-1,-1.1,-1.1
100,Lithuania,2722291,45.135,43.5,19.002,29524.265,0.7
101,Luxembourg,625976,231.447,39.7,14.312,94277.965,0.2
102,Madagascar,27691019,43.951,19.6,2.929,1416.44,77.6
103,Malawi,19129955,197.519,18.1,2.979,1095.042,71.4
104,Malaysia,32365998,96.254,29.9,6.293,26808.164,0.1
105,Maldives,540542,1454.433,30.6,4.12,15183.616,-1.1
106,Mali,20250834,15.196,16.4,2.519,2014.306,-1.1
107,Malta,441539,1454.037,42.4,19.426,36513.323,0.2
108,Marshall Islands,-1,-1.1,-1.1,-1,-1.1,-1.1
109,Mauritania,4649660,4.289,20.3,3.138,3597.633,6
110,Mauritius,1271767,622.962,37.4,10.945,20292.745,0.5
111,Mexico,128932753,66.444,29.3,6.857,17336.469,2.5
112,Micronesia,-1,-1.1,-1.1,-1,-1.1,-1.1
113,Moldova,4033963,123.655,37.6,10.864,5189.972,0.2
114,Monaco,39244,19347.5,-1.1,-1,-1.1,-1.1
115,Mongolia,3278292,1.98,28.6,4.031,11840.846,0.5
116,Montenegro,628062,46.28,39.1,14.762,16409.288,1
117,Morocco,36910558,80.08,29.6,6.769,7485.013,1
118,Mozambique,31255435,37.728,17.7,3.158,1136.103,62.9
119,Myanmar,54409794,81.721,29.1,5.732,5591.597,6.4
120,Namibia,2540916,3.078,22,3.552,9541.808,13.4
